route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
95W,"95W","West 95th",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=260,,
96,"96","Lunt",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=261,,
97,"97","Skokie",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=262,,
X98,"X98","Avon Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=263,,
100,"100","Jeffery Manor Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=264,,
103,"103","West 103rd",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=265,,
106,"106","East 103rd",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=266,,
108,"108","Halsted/95th",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=267,,
111,"111","111th/King Drive",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=268,,
111A,"111A","Pullman Shuttle",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=347,,
112,"112","Vincennes/111th",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=269,,
115,"115","Pullman/115th",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=336,,
119,"119","Michigan/119th",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=270,,
120,"120","Ogilvie/Wacker Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=271,,
121,"121","Union/Wacker Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=272,,
124,"124","Navy Pier",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=275,,
125,"125","Water Tower Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=276,,
126,"126","Jackson",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=277,,
132,"132","Goose Island Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=279,,
130,"130","Museum Campus",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=327,,
134,"134","Stockton/LaSalle Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=280,,
135,"135","Clarendon/LaSalle Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=281,,
136,"136","Sheridan/LaSalle Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=282,,
143,"143","Stockton/Michigan Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=283,,
146,"146","Inner Drive/Michigan Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=286,,
147,"147","Outer Drive Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=287,,
148,"148","Clarendon Michigan Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=288,,
151,"151","Sheridan",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=289,,
152,"152","Addison",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=290,,
155,"155","Devon",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=291,,
156,"156","LaSalle",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=292,,
157,"157","Streeterville/Taylor",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=293,,
165,"165","West 65th",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=294,,
169,"169","69th-UPS Express",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=296,,
171,"171","U. of Chicago/Hyde Park",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=298,,
172,"172","U. of Chicago/Kenwood",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=299,,
192,"192","University of Chicago Hosp. Exp.",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=302,,
201,"201","Central/Ridge",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=304,,
205,"205","Chicago/Golf",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=305,,
206,"206","Evanston Circulator",3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=306,,
Red,"","Red Line",1,http://www.transitchicago.com/riding_cta/systemguide/redline.aspx,C60C30,FFFFFF
P,"","Purple Line",1,http://www.transitchicago.com/riding_cta/systemguide/purpleline.aspx,522398,FFFFFF
Y,"","Yellow Line",1,http://www.transitchicago.com/riding_cta/systemguide/yellowline.aspx,F9E300,000000
Blue,"","Blue Line",1,http://www.transitchicago.com/riding_cta/systemguide/blueline.aspx,00A1DE,FFFFFF
Pink,"","Pink Line",1,http://www.transitchicago.com/riding_cta/systemguide/pinkline.aspx,E27EA6,FFFFFF
G,"","Green Line",1,http://www.transitchicago.com/riding_cta/systemguide/greenline.aspx,009B3A,FFFFFF
Brn,"","Brown Line",1,http://www.transitchicago.com/riding_cta/systemguide/brownline.aspx,62361B,FFFFFF
Org,"","Orange Line",1,http://www.transitchicago.com/riding_cta/systemguide/orangeline.aspx,F9461C,FFFFFF
